Name: CCTV-3, URL: http://116.28.124.202:8520/rtp/239.77.0.32:5146$720x576, Date: 2024-10-03, Resolution: 720x576, Response Time: 375 ms
Name: CCTV-4, URL: http://116.28.124.202:8520/rtp/239.77.1.163:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 105 ms
Name: CCTV-4, URL: http://116.28.124.202:8520/rtp/239.77.1.166:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 116 ms
Name: CCTV-4, URL: http://116.28.124.202:8520/rtp/239.253.43.120:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 165 ms
Name: CCTV-4, URL: http://116.28.124.202:8520/rtp/239.77.0.78:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 175 ms
Name: CCTV-4, URL: http://113.109.250.116:9999/rtp/239.77.0.33:5146$720x576, Date: None, Resolution: 720x576, Response Time: 170 ms
Name: CCTV-4, URL: http://113.83.242.5:4022/rtp/239.77.0.33:5146$720x576, Date: 2024-10-19, Resolution: 720x576, Response Time: 309 ms
Name: CCTV-4, URL: http://116.28.124.202:8520/rtp/239.77.0.33:5146$720x576, Date: 2024-10-03, Resolution: 720x576, Response Time: 319 ms
Name: CCTV-5, URL: http://116.28.124.202:8520/rtp/239.77.0.177:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 0 ms
Name: CCTV-5, URL: http://116.28.124.202:8520/rtp/239.77.0.170:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 193 ms
Name: CCTV-5, URL: http://14.117.233.162:9000/rtp/239.77.0.34:5146$720x576, Date: None, Resolution: 720x576, Response Time: 75 ms
Name: CCTV-5, URL: http://113.109.250.116:9999/rtp/239.77.0.34:5146$720x576, Date: None, Resolution: 720x576, Response Time: 274 ms
Name: CCTV-5, URL: http://116.28.124.202:8520/rtp/239.77.0.34:5146$720x576, Date: 2024-10-03, Resolution: 720x576, Response Time: 375 ms
Name: CCTV-5+, URL: http://116.28.124.202:8520/rtp/239.77.1.31:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 86 ms
Name: CCTV-5+, URL: http://116.28.124.202:8520/rtp/239.77.0.87:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 130 ms
Name: CCTV-6, URL: http://116.28.124.202:8520/rtp/239.77.0.171:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 138 ms
Name: CCTV-6, URL: http://113.109.250.116:9999/rtp/239.77.0.35:5146$720x576, Date: None, Resolution: 720x576, Response Time: 194 ms
Name: CCTV-6, URL: http://116.28.124.202:8520/rtp/239.77.0.35:5146$720x576, Date: 2024-10-03, Resolution: 720x576, Response Time: 342 ms
Name: CCTV-7, URL: http://113.83.242.5:4022/rtp/239.77.0.36:5146$720x576, Date: 2024-10-19, Resolution: 720x576, Response Time: 310 ms
Name: CCTV-7, URL: http://116.28.124.202:8520/rtp/239.77.0.36:5146$720x576, Date: 2024-10-03, Resolution: 720x576, Response Time: 375 ms
Name: CCTV-8, URL: http://116.28.124.202:8520/rtp/239.77.0.172:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 130 ms
Name: CCTV-8, URL: http://116.28.124.202:8520/rtp/239.77.0.37:5146$720x576, Date: 2024-10-03, Resolution: 720x576, Response Time: 326 ms
Name: CCTV-9, URL: http://116.28.124.202:8520/rtp/239.77.1.168:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 0 ms
Name: CCTV-9, URL: http://113.83.242.5:4022/rtp/239.77.0.135:5146$1920x1080, Date: 2024-10-19, Resolution: 1920x1080, Response Time: 172 ms
Name: CCTV-9, URL: http://116.28.124.202:8520/rtp/239.77.1.160:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 194 ms
Name: CCTV-9, URL: http://116.28.124.202:8520/rtp/239.77.0.135:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 273 ms
Name: CCTV-9, URL: http://116.28.124.202:8520/rtp/239.77.0.38:5146$720x576, Date: 2024-10-03, Resolution: 720x576, Response Time: 375 ms
Name: CCTV-10, URL: http://116.28.124.202:8520/rtp/239.77.1.113:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 122 ms
Name: CCTV-10, URL: http://116.28.124.202:8520/rtp/239.77.0.134:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 257 ms
Name: CCTV-10, URL: http://116.28.124.202:8520/rtp/239.77.0.39:5146$720x576, Date: 2024-10-03, Resolution: 720x576, Response Time: 375 ms
Name: CCTV-11, URL: http://116.28.124.202:8520/rtp/239.77.1.238:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 299 ms
Name: CCTV-11, URL: http://113.109.250.116:9999/rtp/239.77.0.40:5146$720x576, Date: None, Resolution: 720x576, Response Time: 138 ms
Name: CCTV-11, URL: http://116.28.124.202:8520/rtp/239.77.0.40:5146$720x576, Date: 2024-10-03, Resolution: 720x576, Response Time: 375 ms
Name: CCTV-11, URL: http://116.28.124.202:8520/rtp/239.77.1.42:5146$720x576, Date: 2024-10-03, Resolution: 720x576, Response Time: 375 ms
Name: CCTV-12, URL: http://116.28.124.202:8520/rtp/239.77.1.109:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 145 ms
Name: CCTV-12, URL: http://116.28.124.202:8520/rtp/239.77.0.136:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 286 ms
Name: CCTV-12, URL: http://116.28.124.202:8520/rtp/239.77.0.41:5146$720x576, Date: 2024-10-03, Resolution: 720x576, Response Time: 375 ms
Name: CCTV-13, URL: http://116.28.124.202:8520/rtp/239.77.0.188:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 52 ms
Name: CCTV-13, URL: http://113.109.250.116:9999/rtp/239.77.0.42:5146$720x576, Date: None, Resolution: 720x576, Response Time: 204 ms
Name: CCTV-13, URL: http://116.28.124.202:8520/rtp/239.77.0.42:5146$720x576, Date: 2024-10-03, Resolution: 720x576, Response Time: 318 ms
Name: CCTV-14, URL: http://116.28.124.202:8520/rtp/239.77.0.133:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 88 ms
Name: CCTV-14, URL: http://113.109.250.116:9999/rtp/239.77.0.43:5146$720x576, Date: None, Resolution: 720x576, Response Time: 250 ms
Name: CCTV-14, URL: http://116.28.124.202:8520/rtp/239.77.0.43:5146$720x576, Date: 2024-10-03, Resolution: 720x576, Response Time: 279 ms
Name: CCTV-15, URL: http://116.28.124.202:8520/rtp/239.77.1.11:5146$720x576, Date: 2024-10-03, Resolution: 720x576, Response Time: 89 ms
Name: CCTV-15, URL: http://116.28.124.202:8520/rtp/239.77.0.44:5146$720x576, Date: 2024-10-03, Resolution: 720x576, Response Time: 148 ms
Name: CCTV-15, URL: http://113.109.250.116:9999/rtp/239.77.0.44:5146$720x576, Date: None, Resolution: 720x576, Response Time: 309 ms
Name: CCTV-16, URL: http://116.28.124.202:8520/rtp/239.77.0.165:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 41 ms
Name: CCTV-16, URL: http://116.28.124.202:8520/rtp/239.77.1.76:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 100 ms
Name: CCTV-16, URL: http://113.83.242.5:4022/rtp/239.77.0.165:5146$1920x1080, Date: 2024-10-19, Resolution: 1920x1080, Response Time: 175 ms
Name: CCTV-16, URL: http://116.28.124.202:8520/rtp/239.77.0.232:5146$720x576, Date: 2024-10-03, Resolution: 720x576, Response Time: 227 ms
Name: CCTV-17, URL: http://116.28.124.202:8520/rtp/239.77.1.121:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 5 ms
Name: CCTV-17, URL: http://116.28.124.202:8520/rtp/239.77.0.198:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 127 ms
Name: CCTV-17, URL: http://113.109.250.116:9999/rtp/239.77.0.115:5146$720x576, Date: None, Resolution: 720x576, Response Time: 276 ms
Name: CCTV-17, URL: http://113.83.242.5:4022/rtp/239.77.0.115:5146$720x576, Date: 2024-10-19, Resolution: 720x576, Response Time: 307 ms
Name: CCTV-17, URL: http://116.28.124.202:8520/rtp/239.77.0.115:5146$720x576, Date: 2024-10-03, Resolution: 720x576, Response Time: 375 ms
Name: 广东卫视, URL: http://116.28.124.202:8520/rtp/239.77.0.84:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 100 ms
Name: 广东卫视, URL: http://113.109.250.116:9999/rtp/239.77.0.2:5146$720x576, Date: None, Resolution: 720x576, Response Time: 157 ms
Name: 浙江卫视, URL: http://116.28.124.202:8520/rtp/239.77.0.89:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 84 ms
Name: 东方卫视, URL: http://gslbservzqhsw.itv.cmvideo.cn/5000000004000014098/1.m3u8?channel-id=bestzb&Contentid=5000000004000014098&livemode=1&stbId=3$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 375 ms
Name: 东南卫视, URL: http://gslbservzqhsw.itv.cmvideo.cn/1000000005000265033/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265033&livemode=1&stbId=3$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 375 ms
Name: 甘肃卫视, URL: http://gslbservzqhsw.itv.cmvideo.cn/5000000011000031121/1.m3u8?channel-id=bestzb&Contentid=5000000011000031121&livemode=1&stbId=3$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 375 ms
Name: 甘肃卫视, URL: http://116.28.124.202:8520/rtp/239.77.1.57:5146$720x576, Date: 2024-10-03, Resolution: 720x576, Response Time: 128 ms
Name: 河北卫视, URL: http://113.83.242.5:4022/rtp/239.77.0.148:5146$1920x1080, Date: 2024-10-19, Resolution: 1920x1080, Response Time: 261 ms
Name: 河南卫视, URL: http://113.83.242.5:4022/rtp/239.77.0.17:5146$1920x1080, Date: 2024-10-19, Resolution: 1920x1080, Response Time: 198 ms
Name: 江苏卫视, URL: http://113.109.250.116:9999/rtp/239.77.0.90:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 57 ms
Name: 江西卫视, URL: http://113.109.250.116:9999/rtp/239.77.1.219:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 154 ms
Name: 江西卫视, URL: http://113.109.250.116:9999/rtp/239.77.0.149:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 223 ms
Name: 辽宁卫视, URL: http://113.109.250.116:9999/rtp/239.77.1.103:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 89 ms
Name: 辽宁卫视, URL: http://113.109.250.116:9999/rtp/239.77.0.123:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 147 ms
Name: 内蒙古卫视, URL: http://113.83.242.5:4022/rtp/239.77.0.70:5146$720x576, Date: 2024-10-19, Resolution: 720x576, Response Time: 311 ms
Name: 内蒙古卫视, URL: http://113.83.242.5:4022/rtp/239.77.1.55:5146$720x576, Date: 2024-10-19, Resolution: 720x576, Response Time: 313 ms
Name: 内蒙古卫视, URL: http://113.109.250.116:9999/rtp/239.77.0.70:5146$720x576, Date: None, Resolution: 720x576, Response Time: 375 ms
Name: 内蒙古卫视, URL: http://113.109.250.116:9999/rtp/239.77.1.55:5146$720x576, Date: None, Resolution: 720x576, Response Time: 375 ms
Name: 宁夏卫视, URL: http://113.109.250.116:9999/rtp/239.77.1.47:5146$720x576, Date: None, Resolution: 720x576, Response Time: 375 ms
Name: 宁夏卫视, URL: http://113.109.250.116:9999/rtp/239.77.0.73:5146$720x576, Date: None, Resolution: 720x576, Response Time: 375 ms
Name: 青海卫视, URL: http://113.109.250.116:9999/rtp/239.253.43.125:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 49 ms
Name: 青海卫视, URL: http://113.109.250.116:9999/rtp/239.77.1.70:5146$720x576, Date: None, Resolution: 720x576, Response Time: 78 ms
Name: 青海卫视, URL: http://113.109.250.116:9999/rtp/239.77.0.71:5146$720x576, Date: None, Resolution: 720x576, Response Time: 124 ms
Name: 青海卫视, URL: http://116.28.124.202:8520/rtp/239.77.0.71:5146$720x576, Date: 2024-10-03, Resolution: 720x576, Response Time: 168 ms
Name: 山东卫视, URL: http://113.109.250.116:9999/rtp/239.77.0.94:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 72 ms
Name: 山西卫视, URL: http://113.109.250.116:9999/rtp/239.77.0.69:5146$720x576, Date: None, Resolution: 720x576, Response Time: 215 ms
Name: 陕西卫视, URL: http://113.109.250.116:9999/rtp/239.77.1.54:5146$720x576, Date: None, Resolution: 720x576, Response Time: 320 ms
Name: 陕西卫视, URL: http://218.13.170.98:9901/tsfile/live/0136_1.m3u8$720x576, Date: None, Resolution: 720x576, Response Time: 375 ms
Name: 陕西卫视, URL: http://113.109.250.116:9999/rtp/239.77.0.68:5146$720x576, Date: None, Resolution: 720x576, Response Time: 375 ms
Name: 四川卫视, URL: http://113.109.250.116:9999/rtp/239.77.0.159:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 112 ms
Name: 深圳卫视, URL: http://116.28.124.202:8520/rtp/239.77.1.148:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 36 ms
Name: 深圳卫视, URL: http://113.109.250.116:9999/rtp/239.77.0.92:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 105 ms
Name: 深圳卫视, URL: http://116.28.124.202:8520/rtp/239.77.1.21:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 130 ms
Name: 三沙卫视, URL: http://116.28.124.202:8520/rtp/239.253.43.113:5146$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 54 ms
Name: 三沙卫视, URL: http://116.28.124.202:8520/rtp/239.77.1.117:5146$720x576, Date: 2024-10-03, Resolution: 720x576, Response Time: 307 ms
Name: 三沙卫视, URL: http://113.109.250.116:9999/rtp/239.77.1.117:5146$720x576, Date: None, Resolution: 720x576, Response Time: 375 ms
Name: 天津卫视, URL: http://113.109.250.116:9999/rtp/239.77.0.131:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 74 ms
Name: 天津卫视, URL: http://113.109.250.116:9999/rtp/239.77.0.97:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 141 ms
Name: 天津卫视, URL: http://113.109.250.116:9999/rtp/239.77.1.141:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 150 ms
Name: 西藏卫视, URL: http://116.28.124.202:8520/rtp/239.77.1.49:5146$720x576, Date: 2024-10-03, Resolution: 720x576, Response Time: 152 ms
Name: 西藏卫视, URL: http://116.28.124.202:8520/rtp/239.77.0.74:5146$720x576, Date: 2024-10-03, Resolution: 720x576, Response Time: 163 ms
Name: 西藏卫视, URL: http://113.109.250.116:9999/rtp/239.77.0.74:5146$720x576, Date: None, Resolution: 720x576, Response Time: 238 ms
Name: 西藏卫视, URL: http://113.109.250.116:9999/rtp/239.77.1.49:5146$720x576, Date: None, Resolution: 720x576, Response Time: 314 ms
Name: 新疆卫视, URL: http://116.28.124.202:8520/rtp/239.77.1.53:5146$720x576, Date: 2024-10-03, Resolution: 720x576, Response Time: 99 ms
Name: 新疆卫视, URL: http://116.28.124.202:8520/rtp/239.77.0.75:5146$720x576, Date: 2024-10-03, Resolution: 720x576, Response Time: 159 ms
Name: 云南卫视, URL: http://113.109.250.116:9999/rtp/239.253.43.100:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 39 ms
Name: 云南卫视, URL: http://113.109.250.116:9999/rtp/239.253.43.37:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 102 ms
Name: 凤凰中文, URL: http://pi.0472.org/tv/cbn.php?id=xfjcHD$1280x720, Date: None, Resolution: 1280x720, Response Time: 375 ms
Name: TVBS亚洲, URL: http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 375 ms
Name: TVBS亚洲, URL: http://38.64.72.148/hls/modn/list/4005/playlist.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 450 ms
Name: TVBS亚洲, URL: http://38.64.72.148/hls/modn/list/4005/playlist.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 450 ms
Name: TVBS亚洲, URL: http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8?$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 450 ms
Name: TVBS亚洲, URL: http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 450 ms
Name: TVBS亚洲, URL: http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 450 ms
Name: TVBS亚洲, URL: http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 450 ms
Name: TVBS亚洲, URL: http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 450 ms
Name: TVBS亚洲, URL: http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8?$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 450 ms
